district_id,district_name
24,Alipurduar
01,Bankura
03,Birbhum
08,Cooch Behar
17,Dakshin Dinajpur
04,Darjeeling & Kalimpong
70,Hooghly
68,Hooghly
06,Hooghly
69,Hooghly
33,Howrah
34,Howrah
07,Jalpaiguri
23,Paschim Medinipur & Jhargram
30,Kolkata
21,Kolkata
09,Malda
12,Murshidabad
13,Nadia
26,North 24 Parganas
27,North 24 Parganas
15,North 24 Parganas
02,Paschim Bardhaman
10,Paschim Medinipur & Jhargram
20,Purba Bardhaman
11,Purba Medinipur
14,Purulia
31,South 24 Parganas
32,South 24 Parganas
65,South 24 Parganas
67,South 24 Parganas
18,Uttar Dinajpur
